Sex,Age,Vaccine Type,Facility Type,Number of Doses,Week,Month,Year,Data as of
F,20-29 years,Moderna,Public Health Provider,1,52,December,2020,23-Dec-20
F,20-29 years,Moderna,Public Health Provider,1,53,December,2020,28-Dec-20
F,20-29 years,Pfizer,Hospital,1,51,December,2020,19-Dec-20
F,20-29 years,Pfizer,Public Health Provider,1,53,December,2020,29-Dec-20
F,30-39 years,Moderna,Public Health Provider,2,52,December,2020,23-Dec-20
F,30-39 years,Moderna,Public Health Provider,3,53,December,2020,28-Dec-20
F,30-39 years,Pfizer,Hospital,1,51,December,2020,19-Dec-20
F,40-49 years,Moderna,Public Health Provider,3,52,December,2020,23-Dec-20
F,40-49 years,Moderna,Public Health Provider,1,53,December,2020,28-Dec-20
F,40-49 years,Pfizer,Hospital,1,51,December,2020,18-Dec-20
F,40-49 years,Pfizer,Hospital,3,52,December,2020,22-Dec-20
F,40-49 years,Pfizer,Hospital,1,52,December,2020,23-Dec-20
F,50-59 years,Moderna,Public Health Provider,8,52,December,2020,23-Dec-20
F,50-59 years,Moderna,Public Health Provider,3,53,December,2020,28-Dec-20
F,50-59 years,Pfizer,Hospital,2,51,December,2020,18-Dec-20
F,50-59 years,Pfizer,Hospital,1,51,December,2020,19-Dec-20
F,50-59 years,Pfizer,Hospital,1,52,December,2020,22-Dec-20
F,50-59 years,Pfizer,Hospital,3,52,December,2020,23-Dec-20
F,60-69 years,Moderna,Public Health Provider,5,52,December,2020,23-Dec-20
F,60-69 years,Moderna,Public Health Provider,2,53,December,2020,28-Dec-20
F,60-69 years,Pfizer,Hospital,1,52,December,2020,23-Dec-20
F,70-79 years,Moderna,Public Health Provider,1,52,December,2020,23-Dec-20
F,70-79 years,Moderna,Public Health Provider,3,53,December,2020,28-Dec-20
F,80+ years,Moderna,Public Health Provider,3,53,December,2020,28-Dec-20
M,16-19 years,Moderna,Public Health Provider,1,52,December,2020,23-Dec-20
M,20-29 years,Moderna,Public Health Provider,1,53,December,2020,28-Dec-20
M,20-29 years,Pfizer,Hospital,1,51,December,2020,16-Dec-20
M,20-29 years,Pfizer,Hospital,1,53,December,2020,29-Dec-20
M,30-39 years,Moderna,Public Health Provider,1,53,December,2020,28-Dec-20
M,40-49 years,Moderna,Public Health Provider,3,52,December,2020,23-Dec-20
